Part,Location,Split,Model,Date,Value,MAPE,RMSE,Train_MAPE
PD457,A,Split 3y/1y,Actual,2024-01-01,473.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-02-01,408.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-03-01,392.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-04-01,356.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-05-01,376.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-06-01,720.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-07-01,798.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-08-01,793.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-09-01,730.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-10-01,812.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-11-01,577.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,Actual,2024-12-01,570.0,0.0,0.0,0.0
PD457,A,Split 3y/1y,SARIMA,2024-01-01,416.1617184720391,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-02-01,409.97941953789973,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-03-01,419.5374073898958,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-04-01,390.2240456538706,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-05-01,390.03837465651634,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-06-01,562.0551605647328,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-07-01,558.6482293438332,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-08-01,704.4860844943425,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-09-01,623.65529250028,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-10-01,550.2128089204515,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-11-01,528.7828779306756,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,SARIMA,2024-12-01,444.63073732153214,0.1442708335893875,126.92379839519192,0.20653356061871234
PD457,A,Split 3y/1y,Prophet,2024-01-01,334.83097937172727,0.23876260278446262,146.9133257448401,0.045175525909349694
PD457,A,Split 3y/1y,Prophet,2024-02-01,559.8608099542063,0.23876260278446262,146.9133257448401,0.045175525909349694
